ID No,Prog Code,Gender,YoG,CGPA,CGPA100,CGPA200,CGPA300,CGPA400
81739,CIS,Male,2012,3.33,3.76,3.47,3.03,2.74
34861,CIS,Male,2012,4.38,4.67,4.04,4.52,3.93
35610,CIS,Male,2012,3.91,3.89,3.81,4.07,3.93
79096,CIS,Male,2013,2.55,2.58,2.68,2.29,2.52
46386,CIS,Male,2013,2.18,2.76,2.00,2.23,1.96
70814,CIS,Male,2012,3.50,3.64,3.19,3.34,3.44
61240,CIS,Male,2012,4.25,4.22,4.30,4.45,3.93
86821,CIS,Female,2012,3.44,3.56,3.16,3.59,3.36
84495,CIS,Male,2014,2.66,3.02,2.33,2.71,2.65
68942,CIS,Female,2012,2.88,2.76,2.56,3.23,3.08
66947,CIS,Female,2012,4.62,4.67,4.70,4.83,4.36
86493,CIS,Female,2013,2.37,3.18,2.04,1.93,2.28
67112,CIS,Male,2014,3.14,3.44,2.89,2.56,3.10
67008,CIS,Male,2012,3.05,3.09,2.79,3.57,2.82
71375,CIS,Female,2012,2.94,3.96,2.84,1.90,2.83
73469,CIS,Female,2012,3.32,3.49,2.91,3.33,3.53
49466,CIS,Male,2012,3.18,3.64,1.92,3.23,2.98
52401,CIS,Male,2012,3.87,4.62,3.00,4.34,3.42
79158,CIS,Male,2013,3.23,3.07,2.94,4.07,3.16
90211,CIS,Female,2012,3.91,3.50,3.50,4.29,3.67
53606,CIS,Female,2013,3.43,3.91,3.74,2.38,3.36
26701,CIS,Female,2013,4.15,4.31,4.29,4.00,3.95
25612,CIS,Male,2013,2.97,3.51,2.23,2.38,3.47
62015,CIS,Male,2013,3.66,4.04,3.36,3.28,3.80
55526,CIS,Male,2014,2.29,2.33,1.77,2.41,2.58
34632,CIS,Male,2013,2.86,3.24,2.82,2.81,2.62
58432,CIS,Male,2013,3.91,3.67,4.14,3.93,3.93
83474,CIS,Male,2014,2.00,1.89,1.54,1.74,2.43
86006,CIS,Female,2013,4.49,4.16,4.76,4.52,4.57
96520,CIS,Male,2013,3.54,3.62,3.43,3.66,3.48
54194,CIS,Male,2013,3.59,3.04,3.14,3.89,4.29
48385,CIS,Female,2013,4.01,4.00,3.93,4.10,4.05
52844,CIS,Female,2013,3.64,3.84,3.76,3.03,3.71
53071,CIS,Female,2013,3.74,3.40,3.91,3.48,4.12
90740,CIS,Male,2013,4.20,4.44,4.48,3.52,4.14
95759,CIS,Female,2013,3.63,3.42,3.80,3.79,3.55
44312,CIS,Male,2013,2.93,3.40,2.47,2.52,3.22
41264,CIS,Female,2013,4.20,4.09,4.43,3.90,4.29
25706,CIS,Female,2013,3.79,3.64,3.93,4.21,3.52
33821,CIS,Male,2013,3.21,3.33,3.71,2.97,2.77
87112,CIS,Male,2013,3.02,3.04,2.98,2.97,3.08
77466,CIS,Male,2013,3.59,3.82,3.40,3.10,3.87
54969,CIS,Male,2013,4.17,4.18,4.19,4.04,4.23
26018,CIS,Male,2013,3.36,3.93,3.31,2.70,3.23
32641,CIS,Female,2013,3.92,3.40,4.40,4.00,3.95
89501,CIS,Male,2013,3.48,3.42,3.43,3.52,3.55
59373,CIS,Male,2013,3.70,3.87,4.00,3.45,3.40
24878,CIS,Male,2013,2.55,3.04,2.13,2.13,2.82
90408,CIS,Male,2013,3.89,3.73,3.52,4.21,4.19
70320,CIS,Male,2013,3.19,3.31,3.12,3.03,3.24
38937,CIS,Male,2013,2.56,2.47,2.09,2.73,3.00
57372,CIS,Male,2013,2.22,2.42,1.79,2.10,2.35
52632,CIS,Female,2013,3.88,3.80,4.26,3.69,3.71
29869,CIS,Female,2013,3.68,3.44,3.67,3.52,4.05
50943,CIS,Male,2013,2.24,2.96,1.48,1.58,2.63
28638,CIS,Male,2013,3.22,3.24,2.66,2.90,3.88
52898,CIS,Male,2013,3.49,3.71,3.77,4.17,2.67
64738,CIS,Male,2013,3.88,4.09,4.02,3.79,3.57
42930,CIS,Female,2013,4.71,4.71,4.90,4.66,4.55
30519,CIS,Male,2013,3.84,3.51,4.41,3.48,3.83
67474,CIS,Male,2013,4.44,4.42,4.43,4.28,4.60
77955,CIS,Male,2014,2.51,2.71,2.08,2.91,2.50
50270,CIS,Male,2013,3.94,3.82,4.14,3.96,3.84
95818,CIS,Male,2013,3.41,3.58,3.55,2.22,3.78
54748,CIS,Female,2013,3.07,3.06,3.14,3.00,3.06
37567,CIS,Male,2013,4.54,4.53,4.67,4.34,4.55
73087,CIS,Male,2013,3.13,3.73,2.44,2.59,3.64
68115,CIS,Female,2013,3.37,3.51,3.43,3.07,3.36
82170,CIS,Male,2014,2.86,3.11,3.16,2.81,2.47
65756,CIS,Male,2013,4.80,4.78,4.81,4.83,4.81
71608,CIS,Male,2013,2.11,2.64,2.07,1.52,1.99
74453,CIS,Male,2013,3.89,3.96,4.14,3.28,3.98
60815,CIS,Male,2013,2.67,2.33,2.51,2.65,3.13
66019,CIS,Female,2013,4.73,4.84,4.90,4.72,4.43
31231,CIS,Male,2014,2.28,2.09,1.91,2.58,2.62
83497,CIS,Male,2013,3.50,3.16,3.50,3.72,3.68
25538,CIS,Female,2013,3.34,3.36,3.36,3.31,3.33
88770,CIS,Male,2013,3.99,4.00,3.95,3.72,4.21
90303,CIS,Female,2013,4.75,4.69,4.88,4.93,4.55
24035,CIS,Male,2013,3.20,4.00,2.90,2.52,3.13
48735,CIS,Male,2013,3.02,3.29,2.85,2.32,3.30
32169,CIS,Male,2013,2.84,2.98,2.22,2.85,3.31
65037,CIS,Female,2013,3.78,4.24,3.52,3.41,3.79
23728,CIS,Male,2014,2.61,3.67,2.06,2.64,2.36
51698,CIS,Female,2013,3.74,4.11,3.55,3.48,3.70
60793,CIS,Male,2013,4.04,4.13,3.88,3.97,4.17
35549,CIS,Male,2013,2.63,3.53,1.74,1.74,3.09
25338,CIS,Male,2013,3.75,3.67,3.25,3.81,4.29
65696,CIS,Male,2013,4.19,3.82,4.19,4.66,4.26
80200,CIS,Male,2013,2.74,2.80,2.61,2.13,3.00
75563,CIS,Female,2013,4.61,4.31,4.67,4.86,4.71
60606,CIS,Female,2013,4.44,4.49,4.52,4.21,4.45
50505,CIS,Male,2013,4.75,4.73,4.83,4.72,4.71
78364,CIS,Male,2013,4.84,4.84,4.98,4.76,4.76
54621,CIS,Male,2013,4.28,4.22,4.48,4.45,4.05
78959,CIS,Male,2013,3.01,3.44,2.28,2.76,3.51
50437,CIS,Male,2013,4.60,4.60,4.74,4.52,4.52
72220,CIS,Male,2013,4.13,4.64,4.17,3.79,3.76
80308,CIS,Female,2013,3.35,2.78,3.73,3.00,3.72
97168,CIS,Male,2013,2.74,3.02,3.17,3.17,2.05
59170,CIS,Male,2013,3.94,4.67,3.83,3.59,3.55
90499,CIS,Female,2013,2.23,1.93,1.98,2.03,2.62
32152,CIS,Male,2013,2.71,2.60,2.00,2.81,3.11
55310,CIS,Female,2013,4.16,4.00,4.23,3.93,4.40
95263,CIS,Male,2013,4.37,4.42,4.33,4.34,4.36
44903,CIS,Male,2013,4.28,4.04,4.67,4.41,4.05
83592,CIS,Male,2013,4.02,3.58,4.43,4.41,3.81
78972,CIS,Male,2013,3.22,3.24,3.50,2.71,3.24
71808,CIS,Female,2013,3.74,3.84,3.88,3.34,3.76
96300,CIS,Male,2014,2.46,2.87,2.25,1.39,2.85
88520,CIS,Male,2013,2.93,3.18,2.23,2.45,3.73
32486,CIS,Female,2013,2.81,2.44,2.81,2.48,3.22
50512,CIS,Female,2013,3.69,2.98,3.86,3.90,4.09
97368,CIS,Male,2013,3.68,4.29,3.42,3.38,3.51
58948,CIS,Male,2014,4.10,4.00,4.26,4.38,3.86
97530,CIS,Male,2014,3.77,3.69,3.71,3.76,3.93
84997,CIS,Female,2014,4.76,4.47,4.90,4.93,4.81
69690,CIS,Male,2014,3.36,3.00,2.98,4.26,3.51
57194,CIS,Female,2014,4.22,3.82,4.07,4.76,4.40
55768,CIS,Female,2014,4.40,4.11,4.62,4.55,4.38
34797,CIS,Male,2014,3.39,3.40,2.73,3.66,3.86
96529,CIS,Male,2014,3.64,3.27,3.60,4.17,3.72
79420,CIS,Female,2014,3.75,3.56,3.67,3.84,3.98
40810,CIS,Female,2014,4.79,4.53,4.93,5.00,4.79
79407,CIS,Female,2014,4.20,3.64,4.43,4.59,4.29
72390,CIS,Male,2014,3.94,3.84,4.14,4.10,3.74
59101,CIS,Female,2014,4.03,4.27,4.05,4.07,3.73
92746,CIS,Female,2014,3.69,3.51,3.49,3.86,3.98
54552,CIS,Male,2014,4.72,4.73,4.79,4.52,4.76
51554,CIS,Male,2014,3.62,3.40,3.71,3.97,3.52
95381,CIS,Female,2014,4.61,4.49,4.69,5.00,4.40
50091,CIS,Female,2014,4.71,4.44,4.81,5.00,4.69
84757,CIS,Male,2014,3.66,2.76,3.56,4.66,4.05
